name = 2021-11-11 08_56_25 CO-strip_01_01_CVA_DUSB0_C01.mpt
technique = EC
tstamp = 1636618671.0
backend_name = memory
id = 9
timecol 'time/s' for: 'raw potential / [V]' and 'raw current / [mA]' and 'selector' and '$U_{RHE}$ / [V]' and 'J / [mA cm$^{-2}$]'
N_header_lines = 9

time/s,	raw potential / [V],	raw current / [mA],	selector,	$U_{RHE}$ / [V],	J / [mA cm$^{-2}$]
7304.671657562256,	0.051134065,	-0.001103932031150908,	11,	0.051134065,	-0.005632306281382183,	
7305.671657562256,	0.051149361,	-0.00110314322266495,	11,	0.051149361,	-0.005628281748290561,	
7306.671657562256,	0.05114175,	-0.001107983282650822,	11,	0.05114175,	-0.005652975931891948,	
7307.671657562256,	0.051126454,	-0.001103182694443967,	11,	0.051126454,	-0.005628483134918199,	
7308.671657562256,	0.05114175,	-0.001101081119687299,	11,	0.05114175,	-0.005617760814731117,	
7309.671657562256,	0.051160853,	-0.001103077463898809,	11,	0.051160853,	-0.005627946244381678,	
7310.671657562256,	0.051126454,	-0.001103262683632783,	11,	0.051126454,	-0.005628891243024403,	
7311.671657562256,	0.051122651,	-0.001103173331799918,	11,	0.051122651,	-0.005628435366326113,	
7312.671657562256,	0.051134065,	-0.0011024990805774,	11,	0.051134065,	-0.005624995309068367,	
7313.671657562256,	0.051160853,	-0.001101712028251496,	11,	0.051160853,	-0.00562097973597702,	
7314.671657562256,	0.051122651,	-0.001103532384557184,	11,	0.051122651,	-0.005630267268148898,	
7315.671657562256,	0.051092058,	-0.001102196897403339,	11,	0.051092058,	-0.005623453558180301,	
7316.671657562256,	0.051176149,	-0.001104676750372164,	11,	0.051176149,	-0.005636105869245734,	
7317.671657562256,	0.051134065,	-0.001102802606113257,	11,	0.051134065,	-0.005626543908741107,	
7318.671657562256,	0.051176149,	-0.001102835036709441,	11,	0.051176149,	-0.005626709370966535,	
7319.671657562256,	0.051149435,	-0.001104416467517149,	11,	0.051149435,	-0.005634777895495657,	
7320.671657562256,	0.051168539,	-0.001102853547467387,	11,	0.051168539,	-0.005626803813609117,	
7321.671657562256,	0.05118376,	-0.001101922601973638,	11,	0.05118376,	-0.005622054091702235,	
7322.671657562256,	0.051176075,	-0.001101452927058565,	11,	0.051176075,	-0.0056196577911151275,	
7323.671657562256,	0.051103547,	-0.00110233187878039,	11,	0.051103547,	-0.005624142238675459,	
7324.671657323837,	0.051164657,	-0.001100870303413832,	11,	0.051164657,	-0.0056166852214991425,	
7325.671657323837,	0.051168464,	-0.001104471538052897,	11,	0.051168464,	-0.005635058867616821,	
7326.671657323837,	0.051149361,	-0.001103133150050419,	11,	0.051149361,	-0.005628230357400097,	
7327.671657323837,	0.051164657,	-0.001100171947444324,	11,	0.051164657,	-0.005613122180838388,	
7328.671657323837,	0.051168464,	-0.001098851589276455,	11,	0.051168464,	-0.00560638565957375,	
