ixdat version = 0.2.1dev
name = 2021-11-11 08_56_25 CO-strip_01_01_CVA_DUSB0_C01.mpt
technique = EC
tstamp = 1636618671.0
backend_name = BackendBase(none, address=none)
id = 4
timecol 'time/s' for: 'Ewe/V' and '<I>/mA' and 'selector'
aliases = {"t": ["time/s"], "raw_potential": ["Ewe/V"], "raw_current": ["<I>/mA"], "cycle": ["cycle number"]}
N_header_lines = 11

time/s,	Ewe/V,	<I>/mA,	selector
12286.914397239685,	0.051172342,	-0.0001539443612418836,	0
12287.014397382736,	0.05114175,	-0.0001543874675116968,	0
12287.114397287369,	0.051145557,	-0.000154181137593696,	0
12287.21439743042,	0.051160853,	-0.0001539741961605616,	0
12287.314397335052,	0.051095936,	-0.0001543059002578956,	0
12287.414397239685,	0.051145632,	-0.0001541312382032629,	0
12287.514397382736,	0.051118843,	-0.0001542599637759849,	0
12287.614397287369,	0.051130261,	-0.0001536450097628403,	0
12287.71439743042,	0.051145557,	-0.0001539850256231153,	0
12287.814397335052,	0.051122651,	-0.0001544410457863705,	0
12287.914397239685,	0.051103547,	-0.0001540272246784301,	0
12288.014397382736,	0.051149435,	-0.0001538559873006306,	0
12288.114397287369,	0.05111504,	-0.0001543884648417589,	0
12288.21439743042,	0.051179953,	-0.0001538798793626482,	0
12288.314397335052,	0.051145557,	-0.0001538867461640622,	0
12288.414397239685,	0.051115036,	-0.0001546499681135174,	0
12288.514397382736,	0.051088251,	-0.0001539735853002642,	0
12288.614397287369,	0.051072955,	-0.0001540607235801877,	0
12288.71439743042,	0.051145557,	-0.0001539348132355372,	0
12288.814397335052,	0.051099744,	-0.0001540572980593424,	0
12288.914397239685,	0.051134139,	-0.0001535707569855732,	0
12289.014397382736,	0.051153168,	-0.0001537455833167769,	0
12289.114397287369,	0.051107354,	-0.0001542036444152472,	0
12289.21439743042,	0.051080566,	-0.0001540235604334163,	0
12289.314397335052,	0.051126454,	-0.000153754729180946,	0
12289.414397239685,	0.051103547,	-0.0001539809140813303,	0
