name = zilien_data_COstrip_11-11-21.csv AND 2021-11-11 08_56_25 CO-strip_01_01_CVA_DUSB0_C01.mpt
technique = EC-MS
tstamp = 1636617385.0
backend_name = memory
id = 6
timecol 'time/s' for: 'raw potential / [V]' and 'raw current / [mA]' and 'selector' and '$U_{RHE}$ / [V]' and 'J / [mA cm$^{-2}$]'
timecol 'M28-x' for: 'M28'
timecol 'M18-x' for: 'M18'
timecol 'M40-x' for: 'M40'
timecol 'M32-x' for: 'M32'
timecol 'M4-x' for: 'M4'
timecol 'M44-x' for: 'M44'
timecol 'M2-x' for: 'M2'
N_header_lines = 16

time/s,	raw potential / [V],	raw current / [mA],	selector,	$U_{RHE}$ / [V],	J / [mA cm$^{-2}$],	M28-x,	M28,	M18-x,	M18,	M40-x,	M40,	M32-x,	M32,	M4-x,	M4,	M44-x,	M44,	M2-x,	M2
8437.671659469604,	0.051114965,	-0.001219609972042963,	11,	0.051114965,	-0.006222499857362056,	8425.637000083923,	1.152853e-10,	8425.56200003624,	1.401133e-09,	8425.786000013351,	2.188336e-12,	8425.710999965668,	2.385106e-10,	8425.487999916077,	1.938739e-08,	8425.859999895096,	1.047214e-11,	8425.413000106812,	2.96475e-10,	
8438.671659469604,	0.051103547,	-0.00121201269729063,	11,	0.051103547,	-0.006183738251482805,	8426.198999881744,	1.161173e-10,	8426.12400007248,	1.402136e-09,	8426.348000049591,	2.228681e-12,	8426.273000001907,	2.400186e-10,	8426.049999952316,	1.940343e-08,	8426.421999931335,	1.058421e-11,	8425.974999904633,	2.970041e-10,	
8439.671659469604,	0.051218156,	-0.001206008461723106,	11,	0.051218156,	-0.006153104396546459,	8426.760999917984,	1.156902e-10,	8426.68700003624,	1.399884e-09,	8426.91000008583,	2.376191e-12,	8426.835999965668,	2.396289e-10,	8426.611999988556,	1.931069e-08,	8426.984999895096,	1.056705e-11,	8426.538000106812,	2.980845e-10,	
8440.671659469604,	0.051164657,	-0.00120279441352468,	11,	0.051164657,	-0.006136706191452449,	8427.325000047684,	1.150096e-10,	8427.25099992752,	1.396883e-09,	8427.473999977112,	2.317369e-12,	8427.400000095367,	2.39038e-10,	8427.176000118256,	1.939079e-08,	8427.549000024796,	1.045703e-11,	8427.101999998093,	3.007516e-10,	
8441.671659469604,	0.051225845,	-0.001196973836678081,	11,	0.051225845,	-0.006107009370806536,	8427.887000083923,	1.149422e-10,	8427.81200003624,	1.393508e-09,	8428.036000013351,	2.148269e-12,	8427.960999965668,	2.38738e-10,	8427.737999916077,	1.936472e-08,	8428.109999895096,	1.069289e-11,	8427.663000106812,	2.998741e-10,	
8442.671659469604,	0.051134139,	-0.001191806161799468,	11,	0.051134139,	-0.006080643682650347,	8428.448999881744,	1.147321e-10,	8428.375,	1.399921e-09,	8428.598000049591,	2.1978e-12,	8428.523999929428,	2.385451e-10,	8428.299999952316,	1.937573e-08,	8428.673000097275,	1.049785e-11,	8428.226000070572,	2.99601e-10,	
8443.671659469604,	0.051134139,	-0.001192790567013435,	11,	0.051134139,	-0.0060856661582318105,	8429.013000011444,	1.163604e-10,	8428.938999891281,	1.401119e-09,	8429.161999940872,	2.238599e-12,	8429.088000059128,	2.393757e-10,	8428.864000082016,	1.941575e-08,	8429.236999988556,	1.03708e-11,	8428.789999961853,	3.013643e-10,	
8444.671659469604,	0.051137947,	-0.001187898371415214,	11,	0.051137947,	-0.006060705976608235,	8429.575999975204,	1.147513e-10,	8429.50099992752,	1.394872e-09,	8429.724999904633,	2.274791e-12,	8429.650000095367,	2.382933e-10,	8429.427000045776,	1.938053e-08,	8429.799000024796,	1.053344e-11,	8429.351999998093,	2.995883e-10,	
8445.671659469604,	0.05111504,	-0.001184609134774655,	11,	0.05111504,	-0.006043924157013546,	8430.138999938965,	1.154895e-10,	8430.063999891281,	1.399084e-09,	8430.288000106812,	2.192312e-12,	8430.213000059128,	2.392772e-10,	8429.990000009537,	1.942417e-08,	8430.361999988556,	1.039653e-11,	8429.914999961853,	3.003563e-10,	
8446.671659469604,	0.051160853,	-0.001181231031497011,	11,	0.051160853,	-0.006026688936209239,	8430.700000047684,	1.155489e-10,	8430.62599992752,	1.395261e-09,	8430.848999977112,	2.160795e-12,	8430.775000095367,	2.372193e-10,	8430.551000118256,	1.938183e-08,	8430.924000024796,	1.033822e-11,	8430.476999998093,	2.994621e-10,	
